SURVEYCODE,SITE,DATE (mm/dd/yyyy),AVG DEPTH (m) ,TIME (24hr),TRANSECT (m),VISIBILITY (m),WEATHER (1-5) ,CURRENT,LOCAL BOATS ,RESEARCHERS,Parrotfish,Rabbitfish,Butterflyfish,Angelfish,Cleaner_Wrasse,Batfish,Thicklip,Red_Breast,Slingjaw,Sweetlips,Squirrel/Soldier,Triggerfish,Porcupine/Puffer,Ray,Snapper<30,Snapper>30,Eel,Trevally,Emperorfish,Grouper<30,Grouper>30,Barracuda,TOTAL N ,,,,,,,,,,,,,,
AL2508,Aow Leuk,08/07/2025,8,13:07,100,15,3,None,14,Maia,23,64,29,3,2,0,2,10,0,0,11,0,0,0,13,0,0,0,0,27,3,0,187,,,,,,,,,,,,,,
EXTRA,Aow Leuk,08/07/2025,8,13:07,100,15,3,None,14,Cassidy,26,61,28,3,3,0,0,9,0,0,17,0,0,0,14,0,0,0,0,17,8,0,186,,,,,,,,,,,,,,
EXTRA,Aow Leuk,08/07/2025,8,13:07,100,15,3,None,14,Maia,23,64,29,3,2,0,2,10,0,0,11,0,0,0,13,0,0,0,0,27,3,0,187,,,,,,,,,,,,,,
AL2510,Aow Leuk,09/29/2025,10.2,13:19,100,15,3,None,11,Thomas,10,14,20,0,4,0,0,7,4,0,0,0,0,0,0,0,0,0,0,32,2,0,93,,,,,,,,,,,,,,
AL2510,Aow Leuk,09/29/2025,10.2,13:19,100,15,3,None,11,Jake,13,35,24,0,4,0,1,6,3,0,0,0,0,0,0,0,0,0,0,27,2,0,115,,,,,,,,,,,,,,
EXTRA,Aow Leuk,10/22/2025,7.5,15:12,12,12,4,None,7,SK,16,18,13,0,0,0,2,14,3,0,3,0,0,0,1,0,0,0,1,13,5,0,89,,,,,,,,,,,,,,
EXTRA,Aow Leuk,10/22/2025,7.5,15:12,12,12,4,None,7,Mathys,13,25,14,0,1,0,6,9,4,0,0,0,0,0,1,0,0,0,4,20,8,0,105,,,,,,,,,,,,,,
EXTRA,Aow Leuk,10/22/2025,10,15:12,12,12,4,None,7,Tom,19,20,14,0,2,0,1,7,1,1,0,0,0,0,0,0,0,0,4,41,2,0,112,,,,,,,,,,,,,,
EXTRA,Aow Leuk,10/22/2025,10,15:12,12,12,4,None,7,Jake,24,22,24,0,0,0,2,14,3,1,5,0,0,0,1,0,0,0,2,75,5,0,178,,,,,,,,,,,,,,
AL2602,Aow Leuk,02/02/2026,9.8,14:15,100,7,3,None,1,Callum,7,20,7,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,2,16,1,0,60,,,,,,,,,,,,,,
AL2602,Aow Leuk,02/02/2026,10,14:15,100,7,3,None,1,Elena,13,31,17,0,2,0,0,3,5,0,0,0,0,0,0,0,0,2,0,23,1,0,97,,,,,,,,,,,,,,
AL2604,Aow Leuk,04/06/2026,9,13:07,100,7,2,None,3,Kim,17,22,16,0,2,0,1,5,2,0,0,0,0,0,0,0,0,0,0,11,3,0,79,,,,,,,,,,,,,,
AL2604,Aow Leuk,04/06/2026,9,13:07,100,7,2,None,3,Lucy W,5,23,25,0,0,0,4,3,3,0,14,0,1,0,0,0,0,0,0,17,0,0,95,,,,,,,,,,,,,,
AL2606,Aow Leuk,06/01/2026,10,13:31,100,3,3,None,1,Cam,3,7,5,0,9,0,0,3,0,0,1,0,0,0,0,0,0,0,0,9,0,0,37,,,,,,,,,,,,,,
AL2606,Aow Leuk,06/01/2026,10,13:31,100,3,3,None,1,Kenzie,2,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,23,,,,,,,,,,,,,,
AM2602,Aow Mao,02/05/2026,10,13:32,100,20,2,None,2,Callum,11,29,22,0,0,0,1,2,0,1,1,0,0,0,2,0,0,0,2,9,3,0,83,,,,,,,,,,,,,,
AM2602,Aow Mao,02/05/2026,10,13:32,100,20,2,None,2,Elena,9,39,30,0,4,0,1,4,0,0,1,0,0,0,0,0,0,0,0,23,5,0,116,,,,,,,,,,,,,,
AM2604,Aow Mao,04/08/2026,9,13:20,100,15,1,None,2,Dak,26,32,40,2,4,0,3,6,2,0,2,1,0,0,0,0,0,2,0,38,8,0,166,,,,,,,,,,,,,,
AM2604,Aow Mao,04/08/2026,9,13:20,100,15,1,None,2,Scarlett B,23,39,33,4,6,0,5,7,0,0,0,1,0,0,0,0,0,1,0,14,4,0,137,,,,,,,,,,,,,,
AM2606,Aow Mao,06/04/2026,10,13:41,100,12,3,None,2,Meredith,13,13,38,0,8,0,3,5,0,0,0,0,0,0,184,0,0,1,0,14,7,0,286,,,,,,,,,,,,,,
AM2606,Aow Mao,06/04/2026,10,13,100,12,3,None,2,Isabella,12,19,35,2,0,0,6,5,1,0,0,0,0,0,120,0,0,2,0,19,6,0,227,,,,,,,,,,,,,,
GR2504,Green Rock Wall,04/01/2025,8.1,7:30,100,12,3,None,2,Tessa,23,33,25,2,0,0,2,4,1,0,1,2,0,0,0,0,0,6,0,10,8,117,234,,,,,,,,,,,,,,
GR2504,Green Rock Wall,04/01/2025,8.1,7:30,100,12,3,None,2,Niamh,19,36,31,3,1,0,5,5,1,0,1,2,0,0,0,3,0,1,0,6,11,90,215,,,,,,,,,,,,,,
GR2506,Green Rock Wall,06/19/2025,10.1,7:42,100,10,3,None,0,Elena,28,22,12,5,2,0,3,7,1,0,0,1,0,0,1,1,0,0,2,1,1,0,87,,,,,,,,,,,,,,
GR2506,Green Rock Wall,06/19/2025,10.1,7:42,100,10,3,None,0,Mirea,33,24,13,3,7,0,0,12,0,0,2,1,0,0,0,1,0,0,1,17,4,0,118,,,,,,,,,,,,,,
GR2508,Green Rock Wall,08/06/2025,8,7:31,100,20,3,None,3,Iola,41,29,39,2,3,0,7,8,2,0,7,5,0,0,0,0,0,2,2,38,4,0,189,,,,,,,,,,,,,,
GR2508,Green Rock Wall,08/06/2025,8,7:31,100,20,3,None,3,Sophie,32,21,33,2,4,0,3,7,0,0,0,4,0,0,0,3,0,3,0,22,2,0,136,,,,,,,,,,,,,,
GR2510,Green Rock Wall,10/01/2025,10.8,7:30,100,14,2,None,4,Tilda,53,28,18,1,5,0,1,5,0,0,0,2,0,0,0,0,0,2,0,20,3,0,138,,,,,,,,,,,,,,
GR2510,Green Rock Wall,10/01/2025,10.8,7:30,100,14,2,None,4,Mathys,37,25,19,0,2,0,2,10,0,0,2,0,0,0,2,0,0,2,0,7,2,0,110,,,,,,,,,,,,,,
GR2602,Green Rock Wall,02/03/2026,11,8:45,100,15,2,None,3,Felix,32,28,22,1,16,0,4,7,2,0,0,0,0,0,0,2,0,2,1,28,2,0,147,,,,,,,,,,,,,,
GR2602,Green Rock Wall,02/03/2026,11,8:45,100,15,2,None,3,Harriet,35,34,27,1,3,0,4,4,3,0,4,0,0,0,1,1,0,2,0,10,1,0,130,,,,,,,,,,,,,,
GR2604,Green Rock Wall,04/09/2026,10,7:34,100,12,1,Medium,3,Kim,32,26,28,0,6,0,0,5,3,0,6,2,0,1,3,1,0,4,0,21,0,0,138,,,,,,,,,,,,,,
GR2604,Green Rock Wall,04/09/2026,10,7:34,100,12,1,Medium,3,Lucy W,28,21,34,0,12,0,0,3,0,0,6,0,0,1,0,1,0,5,1,11,0,0,123,,,,,,,,,,,,,,
GR2606,Green Rock Wall,06/02/2026,10.1,7:42,100,15,3,None,1,Bea,40,13,16,4,2,0,1,4,5,0,6,0,0,0,3,6,0,2,0,25,3,0,130,,,,,,,,,,,,,,
GR2606,Green Rock Wall,06/02/2026,10.1,7:42,100,15,3,None,1,Ezgi,40,18,19,7,7,0,3,4,8,0,0,2,0,0,0,0,0,1,0,14,3,0,126,,,,,,,,,,,,,,
RR2510,Red Rock Wall,10/01/2025,9.6,9:39,100,12,2,Light,1,Thomas,16,18,28,0,1,1,1,5,2,0,0,1,0,0,0,0,0,0,0,37,3,0,113,,,,,,,,,,,,,,
RR2510,Red Rock Wall,10/01/2025,9.6,9:39,100,12,2,Light,1,Jake,37,40,46,0,11,0,0,7,0,0,0,1,0,0,0,1,0,0,0,29,1,0,173,,,,,,,,,,,,,,
EXTRA,Red Rock Wall,10/21/2025,10,9:30,100,10,3,None,2,Agathe,24,31,34,3,3,0,3,7,0,0,1,0,0,0,3,0,0,1,0,18,2,0,130,,,,,,,,,,,,,,
EXTRA,Red Rock Wall,10/21/2025,10,9:30,100,10,3,None,2,Agathe,20,29,24,2,0,0,3,6,0,0,0,0,0,0,7,0,0,2,1,20,7,0,121,,,,,,,,,,,,,,
RR2602,Red Rock Wall,02/04/2026,14,10:26,100,15,2,None,1,Kassia,21,25,43,0,4,0,0,4,1,1,5,0,0,0,0,0,0,1,0,46,0,0,151,,,,,,,,,,,,,,
RR2602,Red Rock Wall,02/04/2026,14,10:26,100,15,2,None,1,Lowri,19,25,30,0,8,0,0,6,5,0,5,0,0,0,0,0,0,0,0,35,2,0,135,,,,,,,,,,,,,,
RR2604,Red Rock Wall,04/07/2026,9,7:30,100,13,2,None,6,Lucy H,21,12,34,2,1,0,1,3,1,0,10,1,0,0,55,0,0,1,2,10,8,0,162,,,,,,,,,,,,,,
RR2604,Red Rock Wall,04/07/2026,9,7:30,100,13,2,None,6,Scarlett B,17,15,24,0,2,0,2,6,1,0,5,1,0,0,71,0,0,4,0,12,13,0,173,,,,,,,,,,,,,,
SI2502,Shark Island,02/05/2025,10,9:17,100,9,1,Light,3,Jen,8,35,63,5,4,1,0,2,3,1,40,0,0,0,7,1,0,1,11,27,6,0,215,,,,,,,,,,,,,,
SI2502,Shark Island,02/05/2025,10,9:17,100,9,1,Light,3,Elise,24,41,59,4,3,6,1,0,2,2,64,0,0,0,13,0,0,1,2,32,4,0,258,,,,,,,,,,,,,,
SI2504,Shark Island,04/02/2025,9.6,7:30,100,10,5,Light,0,Tessa,7,34,64,5,1,0,0,2,0,2,0,0,0,0,6,2,0,13,6,18,9,18,187,,,,,,,,,,,,,,
SI2504,Shark Island,04/02/2025,9.6,7:05,100,10,5,Light,0,Emma,12,35,65,3,3,0,0,0,3,0,3,0,0,0,10,7,0,9,3,23,1,18,195,,,,,,,,,,,,,,
SI2506,Shark Island,06/04/2025,10.8,7:11,100,15,2,None,1,Emma,12,31,68,5,8,3,1,2,0,0,93,0,1,0,182,4,0,3,2,19,9,0,443,,,,,,,,,,,,,,
SI2506,Shark Island,06/04/2025,10.8,7:11,100,15,2,None,1,Niamh,12,30,63,6,6,4,1,3,0,0,70,0,1,0,197,6,0,2,2,26,13,0,442,,,,,,,,,,,,,,
SI2508,Shark Island,08/07/2025,9,7:30,100,15,2,None,1,Louis,12,61,66,3,3,7,2,0,0,1,1,0,0,0,20,0,0,3,2,34,6,0,221,,,,,,,,,,,,,,
SI2508,Shark Island,08/07/2025,9,7:30,100,15,2,None,1,Louis,35,85,48,2,21,7,2,0,0,0,6,0,0,0,14,0,0,8,7,48,0,0,283,,,,,,,,,,,,,,
EXTRA,Shark Island,08/07/2025,9,7:30,100,15,2,None,1,Louis,12,61,66,3,3,7,2,0,0,1,1,0,0,0,20,0,0,3,2,34,6,0,221,,,,,,,,,,,,,,
EXTRA,Shark Island,08/07/2025,9,7:30,100,15,2,None,1,Nico,35,85,48,2,21,7,2,0,0,0,6,0,0,0,14,0,0,8,7,48,0,0,283,,,,,,,,,,,,,,
SI2510,Shark Island,10/02/2025,10,7:30,100,15,2,None,1,Scar,9,39,51,2,8,7,2,3,1,4,0,0,0,0,27,0,0,7,6,33,7,0,206,,,,,,,,,,,,,,
SI2510,Shark Island,10/02/2025,9.8,7:30,100,15,2,None,1,Allie,10,32,48,3,2,2,1,3,2,0,2,0,0,0,26,0,0,5,3,12,7,0,158,,,,,,,,,,,,,,
EXTRA,Shark Island,10/14/2025,10.3,9:25,100,19,3,Light,1,Mario,17,34,58,4,7,1,1,0,4,0,0,0,0,0,31,0,0,3,0,13,0,0,173,,,,,,,,,,,,,,
EXTRA,Shark Island,10/14/2025,10.3,9:25,100,19,3,Light,1,Mario,12,29,46,1,6,1,1,1,0,0,0,0,0,0,0,0,0,4,3,17,0,0,121,,,,,,,,,,,,,,
EXTRA,Shark Island,10/14/2025,10.3,9:25,100,19,3,Light,1,Mario,15,31,57,7,6,0,4,0,3,0,0,0,0,0,15,0,0,3,0,3,0,0,144,,,,,,,,,,,,,,
SI2602,Shark Island,02/05/2026,9.2,8:14,100,13,2,Medium,0,Lauriane,21,33,45,8,21,41,3,17,3,3,6,1,0,0,200,2,0,22,15,44,23,0,508,,,,,,,,,,,,,,
SI2604,Shark Island,04/08/2026,10.1,7:13,100,14,2,Light,0,Max,14,33,75,3,0,0,0,1,0,0,33,0,0,0,21,0,0,14,0,32,8,0,234,,,,,,,,,,,,,,
SI2604,Shark Island,04/08/2026,10.1,7:13,100,14,2,Light,0,Lyra,18,18,44,5,5,0,2,0,0,0,5,0,0,0,33,0,0,23,1,26,2,0,182,,,,,,,,,,,,,,
SI2606,Shark Island,06/04/2026,10,7:33,100,6,3,Light,3,Lotte,4,30,20,2,5,0,0,2,0,1,4,0,0,0,51,0,0,9,0,2,0,0,130,,,,,,,,,,,,,,
SI2606,Shark Island,06/04/2026,10,7:33,100,6,3,Light,3,Sammy,7,45,15,1,1,0,0,1,0,0,3,0,0,0,8,0,0,4,0,26,0,0,111,,,,,,,,,,,,,,
TB2502,Tanote Bay,02/06/2025,9,13:19,100,20,1,None,3,Bjarne,15,7,22,1,5,0,3,5,0,0,1,0,0,0,0,0,0,0,5,8,1,0,73,,,,,,,,,,,,,,
TB2502,Tanote Bay,02/06/2025,9,13:19,100,20,1,None,3,Martin,24,32,18,0,2,0,2,7,0,0,0,1,0,0,0,0,0,1,2,9,0,0,98,,,,,,,,,,,,,,
TB2504,Tanote Bay,04/09/2025,11,15:20,100,10,2,None,3,Camille,21,31,38,1,0,0,3,3,2,0,0,0,0,0,0,0,0,0,4,5,6,0,114,,,,,,,,,,,,,,
TB2504,Tanote Bay,04/09/2025,11,15:20,100,10,2,None,3,Gavin,21,21,33,0,5,0,3,3,2,3,0,1,0,0,0,0,1,0,1,9,4,0,107,,,,,,,,,,,,,,
TB2506,Tanote Bay,06/10/2025,8,15:10,100,10,3,None,8,Jess F,16,21,15,1,1,0,0,5,4,0,0,0,0,1,0,0,1,0,0,5,4,0,74,,,,,,,,,,,,,,
TB2506,Tanote Bay,06/10/2025,8,15:10,100,10,3,None,8,Flo,20,26,33,1,3,0,0,7,2,0,2,0,0,1,0,0,0,0,0,3,8,0,106,,,,,,,,,,,,,,
TB2508,Tanote Bay,08/06/2025,7.7,15:21,100,15,2,None,4,Amira,22,24,26,1,4,0,1,4,0,0,25,0,0,0,0,0,0,0,0,6,4,0,117,,,,,,,,,,,,,,
TB2508,Tanote Bay,08/06/2025,7.8,15:21,100,15,2,None,4,Hanwei,32,21,32,2,4,0,2,3,2,0,5,0,0,0,0,1,0,0,0,1,1,0,106,,,,,,,,,,,,,,
EXTRA,Tanote Bay,08/06/2025,8,15:21,100,15,2,None,4,Amira,22,24,26,1,4,0,1,4,0,0,25,0,0,0,0,0,0,0,0,6,4,0,117,,,,,,,,,,,,,,
EXTRA,Tanote Bay,08/06/2025,8,15:21,100,15,2,None,4,Hanwei,32,21,32,2,4,0,2,3,2,0,5,0,0,0,0,1,0,0,0,1,1,0,106,,,,,,,,,,,,,,
EXTRA,Tanote Bay,09/30/2025,10,15:26,100,15,2,None,12,Allie,14,24,24,2,4,0,1,3,0,0,2,0,0,0,1,0,0,0,0,4,6,0,85,,,,,,,,,,,,,,
EXTRA,Tanote Bay,09/30/2025,10,15:26,100,15,3,None,12,SK,14,13,21,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,7,2,1,64,,,,,,,,,,,,,,
EXTRA,Tanote Bay,09/30/2025,10,15:26,100,15,3,None,12,Mathys,13,14,10,0,0,0,2,4,1,0,0,0,0,0,0,0,0,1,0,6,1,0,52,,,,,,,,,,,,,,
EXTRA,Tanote Bay,09/30/2025,10,15:26,100,15,2,None,12,Agathe,6,28,28,2,1,0,0,3,0,0,2,0,0,0,0,0,0,0,0,6,2,0,78,,,,,,,,,,,,,,
TB2510,Tanote Bay,10/06/2025,12,15:00,100,10,2,None,3,Liam ,19,28,26,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,1,0,88,,,,,,,,,,,,,,
TB2510,Tanote Bay,10/06/2025,12,15:00,100,10,2,None,3,Mathys,28,39,23,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,4,0,107,,,,,,,,,,,,,,
TB2602,Tanote Bay,02/03/2026,7.4,13.3,100,10,1,None,0,Ruby,9,20,11,0,4,0,0,6,1,0,0,0,0,1,0,2,0,0,0,4,5,0,63,,,,,,,,,,,,,,
TB2604,Tanote Bay,04/07/2026,8.5,13:15,100,12,1,None ,2,Will,9,37,10,3,10,0,0,1,2,1,0,0,0,1,0,5,0,0,0,4,2,0,85,,,,,,,,,,,,,,
TB2604,Tanote Bay,04/07/2026,8.5,13:15,100,12,1,None ,2,Jess,32,42,24,3,4,0,1,1,1,0,0,0,0,1,0,0,0,0,3,20,2,0,134,,,,,,,,,,,,,,
TW2502,Twins Wall,02/04/2025,9,9:34,100,10,1,None,5,Ben,31,24,15,1,3,0,6,5,0,0,5,2,0,0,8,0,0,0,2,13,2,0,117,,,,,,,,,,,,,,
TW2502,Twins Wall,02/04/2025,9,9:34,100,10,1,None,3,Olive,27,36,18,0,4,0,7,7,2,0,7,1,0,0,4,3,0,3,1,17,3,0,140,,,,,,,,,,,,,,
TW2504,Twins Wall,03/31/2025,7.5,13:31,100,12,4,Light,7,Emma,26,49,21,0,2,0,7,7,1,0,0,3,0,0,1,0,0,7,0,6,10,0,140,,,,,,,,,,,,,,
TW2504,Twins Wall,03/31/2025,7.5,13:31,100,12,4,Light,7,Camille,31,36,19,0,3,0,6,0,0,0,0,0,0,0,2,0,0,7,0,11,4,0,119,,,,,,,,,,,,,,
TW2504,Twins Wall,03/31/2025,7.5,13:31,100,12,4,Light,7,Renzo,26,39,10,0,3,0,6,3,1,0,0,0,0,0,0,0,0,6,1,12,15,0,122,,,,,,,,,,,,,,
TW2506,Twins Wall,06/16/2025,9,13:15,100,20,3,None,0,Mirea,29,9,33,2,4,0,2,7,3,1,1,1,0,0,2,0,0,0,2,20,1,0,117,,,,,,,,,,,,,,
TW2506,Twins Wall,06/16/2025,9,13:15,100,20,3,None,0,Emma,32,36,19,0,3,0,3,3,4,0,5,0,0,0,0,0,0,4,0,9,2,0,120,,,,,,,,,,,,,,
TW2508,Twins Wall,08/06/2025,7.9,9:30,100,20,2,None,9,Maddie,35,16,77,2,5,0,1,5,1,0,15,5,0,1,2,1,0,0,3,18,3,0,190,,,,,,,,,,,,,,
TW2508,Twins Wall,08/06/2025,7.9,9:30,100,20,2,None,9,Cassidy,20,25,37,2,5,0,3,3,2,0,17,8,0,0,5,0,0,0,2,25,5,0,159,,,,,,,,,,,,,,
TW2510,Twins Wall,10/01/2025,8.3,13:12,100,15,3,Light,6,Liam,23,7,16,3,6,0,3,7,1,0,2,0,0,0,0,0,0,0,0,21,0,0,89,,,,,,,,,,,,,,
TW2510,Twins Wall,10/01/2025,8.3,13:12,100,15,3,Light,6,Ruby,29,14,16,0,0,0,2,7,0,0,1,1,0,0,0,0,0,0,1,13,2,0,86,,,,,,,,,,,,,,
EXTRA,Twins Wall,10/01/2025,9.9,15:14,100,15,3,Light,10,Liam,20,4,15,0,2,0,0,2,1,0,2,0,0,0,1,0,0,0,1,14,1,0,63,,,,,,,,,,,,,,
EXTRA,Twins Wall,10/01/2025,9.9,15:14,100,15,3,Light,10,Liam,16,8,13,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,1,16,1,0,60,,,,,,,,,,,,,,}}
EXTRA,Twins Wall,10/08/2025,9.3,15:03,100,15,3,NA,9,Lily,42,28,22,3,0,1,5,3,1,0,1,0,1,0,1,0,0,0,0,27,3,0,138,,,,,,,,,,,,,,
EXTRA,Twins Wall,10/08/2025,9.3,15:03,100,15,3,NA,9,Lily,32,28,21,3,4,0,2,8,0,0,0,0,0,0,2,0,0,0,1,31,2,0,134,,,,,,,,,,,,,,
EXTRA,Twins Wall,10/08/2025,8.5,15:08,100,12,3,NA,9,Thomas,47,37,52,3,6,0,7,9,4,0,5,0,0,0,1,0,0,0,8,59,3,0,241,,,,,,,,,,,,,,
EXTRA,Twins Wall,10/08/2025,8.5,15:08,100,12,3,NA,9,Thomas,55,29,30,3,5,0,5,8,4,1,8,0,0,0,2,0,0,0,0,53,5,0,208,,,,,,,,,,,,,,
TW2602,Twins Wall,02/04/2026,9.6,13:40,100,8,2,Light,16,Beth,16,18,15,0,0,0,0,4,1,0,0,1,0,0,2,0,0,1,1,14,2,0,75,,,,,,,,,,,,,,
TW2602,Twins Wall,02/04/2026,9.6,13:40,100,8,2,Light,16,Vic,25,29,23,1,12,0,6,6,1,0,1,0,0,0,0,0,0,0,0,19,4,0,127,,,,,,,,,,,,,,
TW2604,Twins Wall,04/18/2026,7.6,13:32,100,20,2,None,5,Lucy H,37,13,19,0,3,0,3,4,2,0,1,0,0,0,0,1,0,1,2,8,1,0,95,,,,,,,,,,,,,,
TW2604,Twins Wall,04/18/2026,7.6,13:32,100,20,2,None,5,Lucy W,14,22,9,0,2,0,2,6,1,0,0,0,0,0,0,0,0,1,0,8,0,0,65,,,,,,,,,,,,,,
