Site,Buddy,Family,Species,Date,Time (s),Macro-algal Bites,Turf/filamentous algal Bites,Live Coral Bites,Dead Coral (With Algae),CoTS Scars ,Sponge Bites,Sediment,Unknown 
Tanote Bay,A,Rabbitfish,Virgate ,10/07/2025,190,0,31,8,0,0,0,0,0
Tanote Bay,A,Rabbitfish,Virgate ,10/07/2025,190,1,19,12,0,0,0,0,0
Tanote Bay,A,Rabbitfish,Virgate ,10/07/2025,190,3,40,0,0,0,0,0,0
Tanote Bay,A,Rabbitfish,Virgate ,10/07/2025,190,0,11,13,0,0,0,0,0
Tanote Bay,A,Rabbitfish,Virgate ,10/15/25,180,6,9,0,0,0,0,0,0
Tanote Bay,A,Rabbitfish,Virgate ,10/15/25,190,10,80,1,0,0,0,0,3
Tanote Bay,A,Rabbitfish,Virgate ,10/15/25,200,4,94,7,0,0,0,0,0
Tanote Bay,B,Rabbitfish,Virgate ,10/06/2025,190,6,40,2,0,0,0,0,0
Tanote Bay,B,Rabbitfish,Virgate ,10/06/2025,180,7,65,0,0,0,0,0,0
Tanote Bay,B,Rabbitfish,Virgate ,10/06/2025,180,5,43,0,0,0,0,0,3
Tanote Bay,B,Rabbitfish,Virgate ,10/07/2025,190,0,23,8,0,0,0,0,1
Tanote Bay,B,Rabbitfish,Virgate ,10/07/2025,190,1,25,9,0,0,0,0,0
Tanote Bay,B,Rabbitfish,Virgate ,10/07/2025,190,5,49,0,0,0,0,0,0
Tanote Bay,B,Rabbitfish,Virgate ,10/07/2025,190,2,15,11,0,0,0,0,0
Tanote Bay,B,Rabbitfish,Virgate ,10/15/25,180,6,9,3,0,0,0,0,9
Tanote Bay,B,Rabbitfish,Virgate ,10/15/25,190,29,76,0,0,0,0,3,0
Tanote Bay,B,Rabbitfish,Virgate ,10/15/25,200,3,108,2,0,0,0,4,0
Tanote Bay,A,Butterflyfish,Weibel,10/06/2025,180,0,0,0,0,0,0,0,0
Tanote Bay,A,Butterflyfish,8-banded,10/06/2025,180,0,4,24,0,0,0,2,0
Tanote Bay,A,Butterflyfish,Weibel,10/06/2025,180,0,0,0,0,0,0,0,0
Tanote Bay,A,Butterflyfish,8-banded,10/07/2025,180,0,8,15,0,0,0,0,0
Tanote Bay,A,Butterflyfish,8-banded,10/07/2025,180,0,4,10,0,0,0,0,2
Tanote Bay,A,Butterflyfish,8-banded,10/07/2025,190,0,0,13,0,0,0,0,0
Tanote Bay,A,Butterflyfish,Weibel,10/07/2025,210,0,16,7,0,0,0,0,0
Tanote Bay,A,Butterflyfish,8-banded,10/15/25,180,0,7,21,0,0,0,0,1
Tanote Bay,A,Butterflyfish,8-banded,10/15/25,180,0,3,8,0,0,0,0,0
Tanote Bay,A,Butterflyfish,Weibel,10/15/25,180,0,0,0,0,0,0,0,0
Tanote Bay,B,Butterflyfish,Weibel,10/06/2025,180,0,0,0,0,0,0,0,0
Tanote Bay,B,Butterflyfish,8-banded,10/06/2025,180,0,3,21,0,0,0,2,0
Tanote Bay,B,Butterflyfish,Weibel,10/06/2025,180,0,0,0,0,0,0,0,0
Tanote Bay,B,Butterflyfish,8-banded,10/07/2025,180,0,3,8,0,0,0,0,0
Tanote Bay,B,Butterflyfish,8-banded,10/07/2025,180,0,3,11,0,0,0,0,1
Tanote Bay,B,Butterflyfish,8-banded,10/07/2025,190,0,1,9,0,0,0,0,0
Tanote Bay,B,Butterflyfish,Weibel,10/07/2025,210,3,7,8,0,0,0,0,4
Tanote Bay,B,Butterflyfish,8-banded,10/15/25,180,0,7,8,2,0,0,0,0
Tanote Bay,B,Butterflyfish,8-banded,10/15/25,180,0,2,2,0,0,0,0,0
Tanote Bay,B,Butterflyfish,Weibel,10/15/25,180,0,0,0,0,0,0,0,0
Twins Wall,A,Parrotfish,Surf,09/17/2025,180,6,78,0,0,0,0,12,0
Twins Wall,A,Parrotfish,Surf,09/17/2025,200,1,78,10,0,0,0,10,0
Twins Wall,A,Parrotfish,Surf,09/17/2025,220,1,113,4,0,0,0,11,0
Twins Wall,A,Parrotfish,Surf,09/17/2025,200,28,132,3,0,0,0,14,0
Twins Wall,A,Parrotfish,Surf,09/17/2025,180,2,129,0,0,0,0,0,0
Twins Wall,A,Parrotfish,Surf,09/23/2025,200,5,92,0,0,0,0,39,0
Twins Wall,A,Parrotfish,Surf,09/23/2025,200,0,101,0,0,0,0,10,0
Twins Wall,A,Parrotfish,Purple,10/08/2025,190,6,133,0,0,0,0,0,0
Twins Wall,A,Parrotfish,Surf,10/08/2025,190,0,131,0,0,0,0,20,0
Twins Wall,A,Parrotfish,Surf,10/08/2025,190,5,65,5,0,0,0,23,3
Twins Wall,B,Parrotfish,Surf,09/17/2025,180,7,84,0,0,0,0,11,0
Twins Wall,B,Parrotfish,Surf,09/17/2025,200,0,67,8,0,0,0,17,0
Twins Wall,B,Parrotfish,Surf,09/17/2025,220,0,96,3,0,0,0,16,0
Twins Wall,B,Parrotfish,Surf,09/17/2025,200,19,136,1,0,0,0,22,0
Twins Wall,B,Parrotfish,Surf,09/17/2025,180,7,105,0,0,0,0,0,0
Twins Wall,B,Parrotfish,Surf,09/23/2025,200,5,87,0,0,0,0,45,0
Twins Wall,B,Parrotfish,Surf,09/23/2025,200,0,87,0,0,0,0,10,0
Twins Wall,B,Parrotfish,Purple,10/08/2025,190,7,106,0,0,0,0,0,0
Twins Wall,B,Parrotfish,Surf,10/08/2025,190,0,117,0,0,0,0,19,0
Twins Wall,B,Parrotfish,Surf,10/08/2025,190,5,59,0,0,0,0,37,0
Twins Wall,A,Butterflyfish,8-banded,09/17/2025,225,0,2,12,0,0,0,0,0
Twins Wall,A,Butterflyfish,Weibel,09/17/2025,220,0,9,4,0,0,0,0,0
Twins Wall,A,Butterflyfish,Weibel,09/17/2025,260,0,21,1,0,0,0,0,0
Twins Wall,A,Butterflyfish,8-banded,09/17/2025,180,0,0,24,0,0,0,0,0
Twins Wall,A,Butterflyfish,Weibel,09/17/2025,195,2,28,0,0,0,0,3,0
Twins Wall,A,Butterflyfish,Weibel,09/23/2025,190,0,23,9,0,0,0,1,0
Twins Wall,A,Butterflyfish,8-banded,09/23/2025,180,0,26,15,0,0,0,0,0
Twins Wall,A,Butterflyfish,Weibel,10/08/2025,180,0,18,0,0,0,0,0,0
Twins Wall,A,Butterflyfish,8-banded,10/08/2025,180,0,2,22,0,0,0,0,0
Twins Wall,A,Butterflyfish,Weibel,10/08/2025,210,0,7,3,0,0,0,0,0
Twins Wall,B,Butterflyfish,8-banded,09/17/2025,225,0,2,16,0,0,0,0,0
Twins Wall,B,Butterflyfish,Weibel,09/17/2025,220,0,12,1,0,0,0,0,0
Twins Wall,B,Butterflyfish,Weibel,09/17/2025,260,0,33,0,0,0,0,1,0
Twins Wall,B,Butterflyfish,8-banded,09/17/2025,180,0,0,30,0,0,0,0,0
Twins Wall,B,Butterflyfish,Weibel,09/17/2025,195,2,19,0,0,0,0,1,0
Twins Wall,B,Butterflyfish,Weibel,09/23/2025,190,1,17,7,0,0,0,0,3
Twins Wall,B,Butterflyfish,8-banded,09/23/2025,180,0,27,13,0,0,0,0,0
Twins Wall,B,Butterflyfish,Weibel,10/08/2025,180,0,15,0,0,0,0,2,0
Twins Wall,B,Butterflyfish,8-banded,10/08/2025,180,0,3,26,0,0,0,0,0
Twins Wall,B,Butterflyfish,Weibel,10/08/2025,210,0,7,2,0,0,0,5,0
Twins Wall,A,Rabbitfish,Virgate,09/17/2025,200,0,0,0,0,0,0,0,0
Twins Wall,A,Rabbitfish,Virgate,09/17/2025,220,2,28,3,0,0,0,0,0
Twins Wall,A,Rabbitfish,Virgate,09/17/2025,220,0,22,3,0,0,0,0,0
Twins Wall,A,Rabbitfish,Virgate,09/17/2025,200,17,52,0,0,0,0,0,0
Twins Wall,A,Rabbitfish,Virgate,09/17/2025,200,0,56,0,0,0,0,0,2
Twins Wall,A,Rabbitfish,Virgate,09/23/2025,195,0,47,0,0,0,0,0,0
Twins Wall,A,Rabbitfish,Yellow,09/23/2025,210,0,82,0,0,0,4,0,0
Twins Wall,A,Rabbitfish,Virgate,10/08/2025,180,0,0,0,0,0,0,0,0
Twins Wall,A,Rabbitfish,Virgate,10/08/2025,190,10,63,0,0,0,0,0,0
Twins Wall,B,Rabbitfish,Virgate,09/17/2025,200,0,0,0,0,0,0,0,0
Twins Wall,B,Rabbitfish,Virgate,09/17/2025,220,15,39,3,0,0,0,0,0
Twins Wall,B,Rabbitfish,Virgate,09/17/2025,220,0,35,4,0,0,0,0,0
Twins Wall,B,Rabbitfish,Virgate,09/17/2025,200,15,71,0,0,0,0,0,0
Twins Wall,B,Rabbitfish,Virgate,09/17/2025,200,0,66,0,0,0,0,0,0
Twins Wall,B,Rabbitfish,Virgate,09/23/2025,195,0,43,0,0,0,0,0,0
Twins Wall,B,Rabbitfish,Yellow,09/23/2025,210,0,91,0,0,0,3,0,0
Twins Wall,B,Rabbitfish,Virgate,10/08/2025,180,0,0,0,0,0,0,0,0
Twins Wall,B,Rabbitfish,Virgate,10/08/2025,190,12,81,0,0,0,0,0,0
Green Rock Wall,A,Parrotfish,Surf,10/01/2025,180,0,0,0,0,0,0,0,0
Green Rock Wall,A,Parrotfish,Surf,10/01/2025,180,0,0,0,0,0,0,0,0
Green Rock Wall,A,Parrotfish,Purple,10/01/2025,180,0,26,1,0,0,0,13,0
Green Rock Wall,A,Parrotfish,Purple,10/15/2025,190,0,60,2,0,0,0,0,5
Green Rock Wall,A,Parrotfish,Surf,10/15/2025,190,0,62,2,0,0,0,0,5
Green Rock Wall,A,Parrotfish,Purple,10/15/2025,200,19,75,0,0,0,0,1,0
Green Rock Wall,A,Parrotfish,Surf,10/15/2025,180,0,0,0,0,0,0,0,0
Green Rock Wall,A,Parrotfish,Purple,10/15/2025,220,9,86,0,0,0,0,0,0
Green Rock Wall,A,Parrotfish,Purple,10/21/2025,190,0,84,0,0,0,3,0,3
Green Rock Wall,A,Parrotfish,Purple,10/21/2025,190,0,26,0,0,0,21,11,0
Green Rock Wall,B,Parrotfish,Surf,10/01/2025,180,0,0,0,0,0,0,0,0
Green Rock Wall,B,Parrotfish,Surf,10/01/2025,180,0,0,0,0,0,0,0,0
Green Rock Wall,B,Parrotfish,Purple,10/01/2025,180,0,22,0,0,0,0,11,2
Green Rock Wall,B,Parrotfish,Purple,10/15/2025,190,1,44,0,0,0,0,4,2
Green Rock Wall,B,Parrotfish,Surf,10/15/2025,190,5,57,0,0,0,0,0,0
Green Rock Wall,B,Parrotfish,Purple,10/15/2025,200,16,57,2,0,0,0,1,0
Green Rock Wall,B,Parrotfish,Surf,10/15/2025,180,0,0,0,0,0,0,0,0
Green Rock Wall,B,Parrotfish,Purple,10/15/2025,220,11,99,0,0,0,0,0,0
Green Rock Wall,B,Parrotfish,Purple,10/21/2025,190,0,89,1,0,0,2,0,0
Green Rock Wall,B,Parrotfish,Purple,10/21/2025,190,0,27,0,0,0,21,7,0
Green Rock Wall,A,Rabbitfish,Virgate,10/01/2025,200,0,10,3,0,0,0,0,1
Green Rock Wall,A,Rabbitfish,Virgate,10/01/2025,180,6,41,23,0,0,0,0,0
Green Rock Wall,A,Rabbitfish,Virgate,10/01/2025,200,0,47,3,0,0,0,0,0
Green Rock Wall,A,Rabbitfish,Virgate,10/01/2025,180,13,50,0,0,0,0,0,0
Green Rock Wall,A,Rabbitfish,Virgate,10/15/2025,190,2,54,0,0,0,0,0,0
Green Rock Wall,A,Rabbitfish,Virgate,10/15/2025,190,0,29,2,0,0,0,0,0
Green Rock Wall,A,Rabbitfish,Virgate,10/15/2025,190,6,32,1,0,0,0,0,0
Green Rock Wall,A,Rabbitfish,Virgate,10/21/2025,180,0,43,2,0,0,0,0,0
Green Rock Wall,A,Rabbitfish,Virgate,10/21/2025,180,0,88,9,0,0,0,5,0
Green Rock Wall,B,Rabbitfish,Virgate,10/01/2025,200,4,18,3,0,0,0,0,4
Green Rock Wall,B,Rabbitfish,Virgate,10/01/2025,180,29,73,26,0,0,0,0,0
Green Rock Wall,B,Rabbitfish,Virgate,10/01/2025,200,0,59,2,0,0,0,0,4
Green Rock Wall,B,Rabbitfish,Virgate,10/01/2025,180,42,43,0,0,0,0,0,0
Green Rock Wall,B,Rabbitfish,Virgate,10/15/2025,190,0,45,0,0,0,0,0,2
Green Rock Wall,B,Rabbitfish,Virgate,10/15/2025,190,0,47,0,0,0,0,0,0
Green Rock Wall,B,Rabbitfish,Virgate,10/15/2025,190,2,39,0,0,0,0,0,0
Green Rock Wall,B,Rabbitfish,Virgate,10/21/2025,180,0,38,0,0,0,0,1,0
Green Rock Wall,B,Rabbitfish,Virgate,10/21/2025,180,1,96,20,0,0,0,1,0
Green Rock Wall,A,Butterflyfish,Weibel,10/01/2025,180,0,0,0,0,0,0,0,0
Green Rock Wall,A,Butterflyfish,8-banded,10/01/2025,190,0,5,19,0,0,0,0,0
Green Rock Wall,A,Butterflyfish,8-banded,10/01/2025,190,0,0,26,0,0,0,0,0
Green Rock Wall,A,Butterflyfish,8-banded,10/01/2025,190,0,6,17,0,0,0,0,0
Green Rock Wall,A,Butterflyfish,8-banded,10/15/2025,200,0,10,41,0,0,0,0,0
Green Rock Wall,A,Butterflyfish,Weibel,10/15/2025,200,0,11,1,0,0,0,0,0
Green Rock Wall,A,Butterflyfish,8-banded,10/15/2025,120,0,5,7,0,0,0,0,2
Green Rock Wall,A,Butterflyfish,8-banded,10/21/2025,180,0,6,0,0,0,0,0,0
Green Rock Wall,A,Butterflyfish,Weibel,10/21/2025,190,0,19,4,0,0,0,0,0
Green Rock Wall,B,Butterflyfish,Weibel,10/01/2025,180,0,0,0,0,0,0,0,0
Green Rock Wall,B,Butterflyfish,8-banded,10/01/2025,190,5,5,8,5,0,0,0,0
Green Rock Wall,B,Butterflyfish,8-banded,10/01/2025,190,0,5,18,1,0,0,0,2
Green Rock Wall,B,Butterflyfish,8-banded,10/01/2025,190,0,3,20,0,0,0,0,0
Green Rock Wall,B,Butterflyfish,8-banded,10/15/2025,200,0,4,33,0,0,0,3,0
Green Rock Wall,B,Butterflyfish,Weibel,10/15/2025,200,2,5,1,0,0,0,0,2
Green Rock Wall,B,Butterflyfish,8-banded,10/15/2025,120,0,5,6,0,0,0,0,0
Green Rock Wall,B,Butterflyfish,8-banded,10/21/2025,180,0,2,0,0,0,0,0,0
Green Rock Wall,B,Butterflyfish,Weibel,10/21/2025,190,0,18,2,0,0,0,0,0
Red Rock Wall,A,Parrotfish,Surf,10/01/2025,180,0,62,7,0,0,0,0,0
Red Rock Wall,A,Parrotfish,Purple,10/01/2025,210,9,40,9,0,0,0,0,0
Red Rock Wall,A,Parrotfish,Surf,10/01/2025,180,6,107,0,0,0,0,0,0
Red Rock Wall,A,Parrotfish,Surf,10/07/2025,180,0,0,0,0,0,0,0,0
Red Rock Wall,A,Parrotfish,Surf,10/07/2025,180,0,36,21,0,0,0,0,0
Red Rock Wall,A,Parrotfish,Blue-barred,10/07/2025,210,2,28,14,0,0,0,0,1
Red Rock Wall,A,Parrotfish,Surf,10/15/2025,190,0,29,0,0,0,0,0,0
Red Rock Wall,A,Parrotfish,Surf,10/15/2025,190,0,25,0,0,0,0,27,0
Red Rock Wall,A,Parrotfish,Surf,10/15/2025,180,0,15,0,0,0,0,22,0
Red Rock Wall,B,Parrotfish,Surf,10/01/2025,180,0,41,14,0,0,0,0,0
