site,buddy,family,species,date,time_s,macro_algal_bites,turf_filamentous_algal_bites,live_coral_bites,dead_coral_with_algae,co_ts_scars,sponge_bites,sediment,unknown,site_code,bites_total,minutes_obs,bites_min,trophic_group,taxon_family,genus,species_epithet,sci_name,taxon_notes,site_type,cots_mean_ha,cots_max_ha,cots_15_mean,cots_15_max,HC,TUR,MAC,algal_cover,benthic_state,n_substrate_transects,obs_id,cots_mean_ha_sc,HC_sc,MAC_sc,TUR_sc
Shark Island,A,Rabbitfish,Virgate,2025-10-02,210,0,61,0,0,0,20,0,0,SI,81,3.5,23.142857142857142,Grazer,Siganidae,Siganus,virgatus,Siganus virgatus,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,20,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,A,Rabbitfish,Virgate,2025-10-02,210,0,84,1,0,0,0,0,2,SI,87,3.5,24.857142857142858,Grazer,Siganidae,Siganus,virgatus,Siganus virgatus,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,21,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,A,Rabbitfish,Virgate,2025-10-02,180,1,61,2,0,0,3,0,0,SI,67,3,22.333333333333332,Grazer,Siganidae,Siganus,virgatus,Siganus virgatus,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,22,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,A,Rabbitfish,Virgate,2025-10-14,180,13,55,0,0,0,0,0,0,SI,68,3,22.666666666666668,Grazer,Siganidae,Siganus,virgatus,Siganus virgatus,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,23,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,A,Rabbitfish,Virgate,2025-10-14,200,4,16,0,0,0,0,0,0,SI,20,3.3333333333333335,6,Grazer,Siganidae,Siganus,virgatus,Siganus virgatus,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,24,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,A,Rabbitfish,Virgate,2025-10-14,210,0,81,2,0,0,0,0,0,SI,83,3.5,23.714285714285715,Grazer,Siganidae,Siganus,virgatus,Siganus virgatus,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,25,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,A,Rabbitfish,Virgate,2025-10-14,180,0,20,24,0,0,0,0,0,SI,44,3,14.666666666666666,Grazer,Siganidae,Siganus,virgatus,Siganus virgatus,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,26,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,A,Rabbitfish,Virgate,2025-10-14,180,9,31,4,0,0,0,0,0,SI,44,3,14.666666666666666,Grazer,Siganidae,Siganus,virgatus,Siganus virgatus,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,27,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,B,Rabbitfish,Virgate,2025-09-24,180,2,54,6,0,0,0,0,0,SI,62,3,20.666666666666668,Grazer,Siganidae,Siganus,virgatus,Siganus virgatus,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,28,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,B,Rabbitfish,Virgate,2025-10-02,210,0,43,0,0,0,38,0,0,SI,81,3.5,23.142857142857142,Grazer,Siganidae,Siganus,virgatus,Siganus virgatus,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,29,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,B,Rabbitfish,Virgate,2025-10-02,210,0,73,0,0,0,0,0,0,SI,73,3.5,20.857142857142858,Grazer,Siganidae,Siganus,virgatus,Siganus virgatus,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,30,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,B,Rabbitfish,Virgate,2025-10-02,180,0,55,0,0,0,3,0,0,SI,58,3,19.333333333333332,Grazer,Siganidae,Siganus,virgatus,Siganus virgatus,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,31,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,B,Rabbitfish,Virgate,2025-10-14,180,9,47,0,0,0,0,0,0,SI,56,3,18.666666666666668,Grazer,Siganidae,Siganus,virgatus,Siganus virgatus,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,32,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,B,Rabbitfish,Virgate,2025-10-14,200,2,14,0,0,0,0,0,2,SI,18,3.3333333333333335,5.3999999999999995,Grazer,Siganidae,Siganus,virgatus,Siganus virgatus,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,33,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,B,Rabbitfish,Virgate,2025-10-14,210,0,92,0,0,0,0,0,0,SI,92,3.5,26.285714285714285,Grazer,Siganidae,Siganus,virgatus,Siganus virgatus,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,34,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,B,Rabbitfish,Virgate,2025-10-14,180,0,24,18,0,0,0,0,8,SI,50,3,16.666666666666668,Grazer,Siganidae,Siganus,virgatus,Siganus virgatus,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,35,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,B,Rabbitfish,Virgate,2025-10-14,180,6,29,3,0,0,0,0,0,SI,38,3,12.666666666666666,Grazer,Siganidae,Siganus,virgatus,Siganus virgatus,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,36,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,A,Butterflyfish,8-banded,2025-09-24,180,0,0,18,0,0,0,0,0,SI,18,3,6,Grazer,Chaetodontidae,Chaetodon,octofasciatus,Chaetodon octofasciatus,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,37,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,A,Butterflyfish,Weibel,2025-10-02,200,0,16,0,0,0,0,0,0,SI,16,3.3333333333333335,4.8,Grazer,Chaetodontidae,Chaetodon,wiebeli,Chaetodon wiebeli,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,38,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,A,Butterflyfish,Weibel,2025-10-02,200,0,7,0,0,0,0,0,0,SI,7,3.3333333333333335,2.1,Grazer,Chaetodontidae,Chaetodon,wiebeli,Chaetodon wiebeli,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,39,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,A,Butterflyfish,Weibel,2025-10-02,190,0,18,0,0,0,0,0,0,SI,18,3.1666666666666665,5.684210526315789,Grazer,Chaetodontidae,Chaetodon,wiebeli,Chaetodon wiebeli,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,40,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,A,Butterflyfish,8-banded,2025-10-14,180,1,6,13,0,0,0,0,0,SI,20,3,6.666666666666667,Grazer,Chaetodontidae,Chaetodon,octofasciatus,Chaetodon octofasciatus,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,41,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,A,Butterflyfish,Weibel,2025-10-14,180,1,16,13,0,0,0,0,1,SI,31,3,10.333333333333334,Grazer,Chaetodontidae,Chaetodon,wiebeli,Chaetodon wiebeli,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,42,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,A,Butterflyfish,Weibel,2025-10-14,200,0,5,12,0,0,0,0,0,SI,17,3.3333333333333335,5.1,Grazer,Chaetodontidae,Chaetodon,wiebeli,Chaetodon wiebeli,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,43,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,A,Butterflyfish,8-banded,2025-10-14,190,6,16,7,0,0,0,0,0,SI,29,3.1666666666666665,9.157894736842106,Grazer,Chaetodontidae,Chaetodon,octofasciatus,Chaetodon octofasciatus,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,44,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,A,Butterflyfish,Weibel,2025-10-14,190,0,0,27,0,0,0,0,0,SI,27,3.1666666666666665,8.526315789473685,Grazer,Chaetodontidae,Chaetodon,wiebeli,Chaetodon wiebeli,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,45,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,B,Butterflyfish,8-banded,2025-09-24,180,0,1,18,0,0,0,0,0,SI,19,3,6.333333333333333,Grazer,Chaetodontidae,Chaetodon,octofasciatus,Chaetodon octofasciatus,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,46,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,B,Butterflyfish,Weibel,2025-10-02,200,0,12,0,0,0,0,0,0,SI,12,3.3333333333333335,3.5999999999999996,Grazer,Chaetodontidae,Chaetodon,wiebeli,Chaetodon wiebeli,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,47,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,B,Butterflyfish,Weibel,2025-10-02,200,0,5,0,0,0,0,0,0,SI,5,3.3333333333333335,1.5,Grazer,Chaetodontidae,Chaetodon,wiebeli,Chaetodon wiebeli,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,48,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,B,Butterflyfish,Weibel,2025-10-02,190,0,13,1,0,0,0,0,0,SI,14,3.1666666666666665,4.421052631578948,Grazer,Chaetodontidae,Chaetodon,wiebeli,Chaetodon wiebeli,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,49,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,B,Butterflyfish,8-banded,2025-10-14,180,0,10,11,0,0,0,0,0,SI,21,3,7,Grazer,Chaetodontidae,Chaetodon,octofasciatus,Chaetodon octofasciatus,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,50,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,B,Butterflyfish,Weibel,2025-10-14,180,1,9,14,0,0,0,0,2,SI,26,3,8.666666666666666,Grazer,Chaetodontidae,Chaetodon,wiebeli,Chaetodon wiebeli,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,51,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,B,Butterflyfish,Weibel,2025-10-14,200,0,6,9,0,0,0,0,0,SI,15,3.3333333333333335,4.5,Grazer,Chaetodontidae,Chaetodon,wiebeli,Chaetodon wiebeli,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,52,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,B,Butterflyfish,8-banded,2025-10-14,190,5,21,7,0,0,0,0,5,SI,38,3.1666666666666665,12,Grazer,Chaetodontidae,Chaetodon,octofasciatus,Chaetodon octofasciatus,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,53,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Shark Island,B,Butterflyfish,Weibel,2025-10-14,190,0,0,26,0,0,0,0,0,SI,26,3.1666666666666665,8.210526315789474,Grazer,Chaetodontidae,Chaetodon,wiebeli,Chaetodon wiebeli,,Control,4.75,20,Below_15,Above_15,63.616640884020676,19.065015169036347,1.6019423666019266,20.66695753563827,-42.94968334838241,7,54,-0.9859705505268697,1.7817330855090598,-0.4613145582758765,-1.1833066566810164
Aow Leuk,A,Parrotfish,Surf,2025-09-01,180,0,55,2,0,0,0,8,0,AL,65,3,21.666666666666668,Grazer,Labridae: Scarinae,Scarus,rivulatus,Scarus rivulatus,check ID,Control,7,15,Below_15,Above_15,33.48649925254956,33.93852168468359,0.964644011917514,34.90316569660111,1.4166664440515504,9,55,-0.8143851499418027,-1.1619167394886711,-1.1659002759043495,0.816723760249484
Aow Leuk,A,Parrotfish,Blue-barred,2025-09-01,180,0,48,15,0,0,7,0,0,AL,70,3,23.333333333333332,Grazer,Labridae: Scarinae,Scarus,ghobban,Scarus ghobban,,Control,7,15,Below_15,Above_15,33.48649925254956,33.93852168468359,0.964644011917514,34.90316569660111,1.4166664440515504,9,56,-0.8143851499418027,-1.1619167394886711,-1.1659002759043495,0.816723760249484
Aow Leuk,A,Parrotfish,Surf,2025-09-25,200,0,82,0,0,0,0,16,0,AL,98,3.3333333333333335,29.4,Grazer,Labridae: Scarinae,Scarus,rivulatus,Scarus rivulatus,check ID,Control,7,15,Below_15,Above_15,33.48649925254956,33.93852168468359,0.964644011917514,34.90316569660111,1.4166664440515504,9,57,-0.8143851499418027,-1.1619167394886711,-1.1659002759043495,0.816723760249484
Aow Leuk,A,Parrotfish,Surf,2025-09-25,220,2,72,0,0,0,0,3,0,AL,77,3.6666666666666665,21,Grazer,Labridae: Scarinae,Scarus,rivulatus,Scarus rivulatus,check ID,Control,7,15,Below_15,Above_15,33.48649925254956,33.93852168468359,0.964644011917514,34.90316569660111,1.4166664440515504,9,58,-0.8143851499418027,-1.1619167394886711,-1.1659002759043495,0.816723760249484
Aow Leuk,A,Parrotfish,Surf,2025-09-29,200,5,43,3,0,0,0,0,10,AL,61,3.3333333333333335,18.3,Grazer,Labridae: Scarinae,Scarus,rivulatus,Scarus rivulatus,check ID,Control,7,15,Below_15,Above_15,33.48649925254956,33.93852168468359,0.964644011917514,34.90316569660111,1.4166664440515504,9,59,-0.8143851499418027,-1.1619167394886711,-1.1659002759043495,0.816723760249484
Aow Leuk,A,Parrotfish,Blue-barred,2025-09-29,200,10,60,3,0,0,0,0,5,AL,78,3.3333333333333335,23.4,Grazer,Labridae: Scarinae,Scarus,ghobban,Scarus ghobban,,Control,7,15,Below_15,Above_15,33.48649925254956,33.93852168468359,0.964644011917514,34.90316569660111,1.4166664440515504,9,60,-0.8143851499418027,-1.1619167394886711,-1.1659002759043495,0.816723760249484
Aow Leuk,A,Parrotfish,Surf,2025-09-29,190,0,95,0,0,0,0,0,0,AL,95,3.1666666666666665,30,Grazer,Labridae: Scarinae,Scarus,rivulatus,Scarus rivulatus,check ID,Control,7,15,Below_15,Above_15,33.48649925254956,33.93852168468359,0.964644011917514,34.90316569660111,1.4166664440515504,9,61,-0.8143851499418027,-1.1619167394886711,-1.1659002759043495,0.816723760249484
Aow Leuk,A,Parrotfish,Surf,2025-10-07,180,7,21,0,0,0,0,0,0,AL,28,3,9.333333333333334,Grazer,Labridae: Scarinae,Scarus,rivulatus,Scarus rivulatus,check ID,Control,7,15,Below_15,Above_15,33.48649925254956,33.93852168468359,0.964644011917514,34.90316569660111,1.4166664440515504,9,62,-0.8143851499418027,-1.1619167394886711,-1.1659002759043495,0.816723760249484
Aow Leuk,A,Parrotfish,Purple,2025-10-07,180,3,114,6,0,0,0,0,0,AL,123,3,41,Grazer,Labridae: Scarinae,Scarus,globiceps,Scarus globiceps,check ID,Control,7,15,Below_15,Above_15,33.48649925254956,33.93852168468359,0.964644011917514,34.90316569660111,1.4166664440515504,9,63,-0.8143851499418027,-1.1619167394886711,-1.1659002759043495,0.816723760249484
Aow Leuk,B,Parrotfish,Surf,2025-09-01,180,0,35,5,0,0,0,12,0,AL,52,3,17.333333333333332,Grazer,Labridae: Scarinae,Scarus,rivulatus,Scarus rivulatus,check ID,Control,7,15,Below_15,Above_15,33.48649925254956,33.93852168468359,0.964644011917514,34.90316569660111,1.4166664440515504,9,64,-0.8143851499418027,-1.1619167394886711,-1.1659002759043495,0.816723760249484
Aow Leuk,B,Parrotfish,Blue-barred,2025-09-01,180,0,38,10,0,0,3,0,0,AL,51,3,17,Grazer,Labridae: Scarinae,Scarus,ghobban,Scarus ghobban,,Control,7,15,Below_15,Above_15,33.48649925254956,33.93852168468359,0.964644011917514,34.90316569660111,1.4166664440515504,9,65,-0.8143851499418027,-1.1619167394886711,-1.1659002759043495,0.816723760249484
Aow Leuk,B,Parrotfish,Surf,2025-09-25,200,0,65,0,0,0,0,10,0,AL,75,3.3333333333333335,22.5,Grazer,Labridae: Scarinae,Scarus,rivulatus,Scarus rivulatus,check ID,Control,7,15,Below_15,Above_15,33.48649925254956,33.93852168468359,0.964644011917514,34.90316569660111,1.4166664440515504,9,66,-0.8143851499418027,-1.1619167394886711,-1.1659002759043495,0.816723760249484
